Inning_No,Ball_No,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_Player
1,31.5,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,0,0,,,,,,,
1,31.6,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,1,0,,,,,,,
1,31.7,Zimbabwe,CK Coventry,S Matsikenyeri,Mahmudullah,4,0,,,,,,,
1,32.1,Zimbabwe,S Matsikenyeri,CK Coventry,Mohammad Ashraful,1,0,,,,,,,
1,32.2,Zimbabwe,CK Coventry,S Matsikenyeri,Mohammad Ashraful,1,0,,,,,,,
1,32.3,Zimbabwe,S Matsikenyeri,CK Coventry,Mohammad Ashraful,0,0,,,,,,,
1,32.4,Zimbabwe,S Matsikenyeri,CK Coventry,Mohammad Ashraful,1,0,,,,,,,
1,32.5,Zimbabwe,CK Coventry,S Matsikenyeri,Mohammad Ashraful,0,0,,,,,,,
1,32.6,Zimbabwe,CK Coventry,S Matsikenyeri,Mohammad Ashraful,0,0,,,,,,,
1,33.1,Zimbabwe,S Matsikenyeri,CK Coventry,Mahbubul Alam,0,0,,,,,,,
1,33.2,Zimbabwe,S Matsikenyeri,CK Coventry,Mahbubul Alam,1,0,,,,,,,
1,33.3,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,0,,,,,,,
1,33.4,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,0,,,,,,,
1,33.5,Zimbabwe,S Matsikenyeri,CK Coventry,Mahbubul Alam,2,0,,,,,,,
1,33.6,Zimbabwe,S Matsikenyeri,CK Coventry,Mahbubul Alam,1,0,,,,,,,
1,34.1,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,1,0,,,,,,,
1,34.2,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,2,0,,,,,,,
1,34.3,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,1,0,,,,,,,
1,34.4,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,2,0,,,,,,,
1,34.5,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,2,0,,,,,,,
1,34.6,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,0,0,,,,,,,
1,35.1,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,0,,,,,,,
1,35.2,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,0,,,,,,,
1,35.3,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,0,,,,,,,
1,35.4,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,1,,,1,,,,
1,35.5,Zimbabwe,S Matsikenyeri,CK Coventry,Mahbubul Alam,1,0,,,,,,,
1,35.6,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,1,1,,,,,,
1,35.7,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,0,,,,,,,
1,36.1,Zimbabwe,CK Coventry,S Matsikenyeri,Mahmudullah,0,0,,,,,,,
1,36.2,Zimbabwe,CK Coventry,S Matsikenyeri,Mahmudullah,1,0,,,,,,,
1,36.3,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,1,0,,,,,,,
1,36.4,Zimbabwe,CK Coventry,S Matsikenyeri,Mahmudullah,1,0,,,,,,,
1,36.5,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,1,0,,,,,,,
1,36.6,Zimbabwe,CK Coventry,S Matsikenyeri,Mahmudullah,1,0,,,,,,,
1,37.1,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,1,1,,,,,,
1,37.2,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,0,,,,,,,
1,37.3,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,0,,,,,,,
1,37.4,Zimbabwe,S Matsikenyeri,CK Coventry,Mahbubul Alam,1,0,,,,,,,
1,37.5,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,2,0,,,,,,,
1,37.6,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,6,0,,,,,,,
1,37.7,Zimbabwe,CK Coventry,S Matsikenyeri,Mahbubul Alam,4,0,,,,,,,
1,38.1,Zimbabwe,S Matsikenyeri,CK Coventry,Syed Rasel,0,1,,,,1,,,
1,38.2,Zimbabwe,CK Coventry,S Matsikenyeri,Syed Rasel,1,0,,,,,,,
1,38.3,Zimbabwe,S Matsikenyeri,CK Coventry,Syed Rasel,0,0,,,,,,,
1,38.4,Zimbabwe,S Matsikenyeri,CK Coventry,Syed Rasel,1,0,,,,,,,
1,38.5,Zimbabwe,CK Coventry,S Matsikenyeri,Syed Rasel,0,0,,,,,,,
1,38.6,Zimbabwe,CK Coventry,S Matsikenyeri,Syed Rasel,0,0,,,,,,,
1,39.1,Zimbabwe,S Matsikenyeri,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,39.2,Zimbabwe,S Matsikenyeri,CK Coventry,Shakib Al Hasan,0,1,1,,,,,,
1,39.3,Zimbabwe,S Matsikenyeri,CK Coventry,Shakib Al Hasan,1,0,,,,,,,
1,39.4,Zimbabwe,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,0,,,,,,,
1,39.5,Zimbabwe,CK Coventry,S Matsikenyeri,Shakib Al Hasan,0,0,,,,,,,
1,39.6,Zimbabwe,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,0,,,,,,,
1,39.7,Zimbabwe,CK Coventry,S Matsikenyeri,Shakib Al Hasan,4,0,,,,,,,
1,40.1,Zimbabwe,S Matsikenyeri,CK Coventry,Syed Rasel,1,0,,,,,,,
1,40.2,Zimbabwe,CK Coventry,S Matsikenyeri,Syed Rasel,1,0,,,,,,,
1,40.3,Zimbabwe,S Matsikenyeri,CK Coventry,Syed Rasel,0,0,,,,,,,
1,40.4,Zimbabwe,S Matsikenyeri,CK Coventry,Syed Rasel,1,0,,,,,,,
1,40.5,Zimbabwe,CK Coventry,S Matsikenyeri,Syed Rasel,4,0,,,,,,,
1,40.6,Zimbabwe,CK Coventry,S Matsikenyeri,Syed Rasel,2,0,,,,,,,
1,41.1,Zimbabwe,S Matsikenyeri,CK Coventry,Shakib Al Hasan,2,0,,,,,,,
1,41.2,Zimbabwe,S Matsikenyeri,CK Coventry,Shakib Al Hasan,0,0,,,,,,run out,S Matsikenyeri
1,41.3,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,41.4,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,41.5,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,41.6,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,2,0,,,,,,,
1,42.1,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,0,0,,,,,,,
1,42.2,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,1,0,,,,,,,
