Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,215,35.1,"SR Tendulkar","YK Pathan","WD Parnell",1,0,,,,,,,
1,216,35.2,"YK Pathan","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,217,35.3,"SR Tendulkar","YK Pathan","WD Parnell",1,0,,,,,,,
1,218,35.4,"YK Pathan","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,219,35.5,"SR Tendulkar","YK Pathan","WD Parnell",4,0,,,,,,,
1,220,35.6,"SR Tendulkar","YK Pathan","WD Parnell",0,0,,,,,,,
1,221,36.1,"YK Pathan","SR Tendulkar","DW Steyn",4,0,,,,,,,
1,222,36.2,"YK Pathan","SR Tendulkar","DW Steyn",4,0,,,,,,,
1,223,36.3,"YK Pathan","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,224,36.4,"SR Tendulkar","YK Pathan","DW Steyn",4,0,,,,,,,
1,225,36.5,"SR Tendulkar","YK Pathan","DW Steyn",0,0,,,,,,,
1,226,36.6,"SR Tendulkar","YK Pathan","DW Steyn",4,0,,,,,,,
1,227,37.1,"YK Pathan","SR Tendulkar","WD Parnell",6,0,,,,,,,
1,228,37.2,"YK Pathan","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,229,37.3,"SR Tendulkar","YK Pathan","WD Parnell",4,0,,,,,,,
1,230,37.4,"SR Tendulkar","YK Pathan","WD Parnell",1,0,,,,,,,
1,231,37.5,"YK Pathan","SR Tendulkar","WD Parnell",6,0,,,,,,,
1,232,37.6,"YK Pathan","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,233,38.1,"SR Tendulkar","YK Pathan","CK Langeveldt",4,0,,,,,,,
1,234,38.2,"SR Tendulkar","YK Pathan","CK Langeveldt",0,0,,,,,,,
1,235,38.3,"SR Tendulkar","YK Pathan","CK Langeveldt",0,1,1,,,,,,
1,236,38.4,"SR Tendulkar","YK Pathan","CK Langeveldt",1,0,,,,,,,
1,237,38.5,"YK Pathan","SR Tendulkar","CK Langeveldt",4,0,,,,,,,
1,238,38.6,"YK Pathan","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,239,38.7,"YK Pathan","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,240,39.1,"YK Pathan","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,241,39.2,"YK Pathan","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,242,39.3,"SR Tendulkar","YK Pathan","RE van der Merwe",0,0,,,,,,,
